num,korean1,society1,math1,science1,korean2,math2,society2,science2,english2,ethic2,practical2,physic2,music2,art2
1,96,91,64,100,97,90,79,72,94,82,81,100,100,82
2,86,48,53,66,89,46,54,56,88,82,76,87,54,66
3,68,52,68,82,76,42,80,56,57,64,75,100,76,86
4,96,69,66,92,97,90,94,76,92,94,83,100,82,72
5,96,88,60,100,87,82,74,84,94,82,88,100,80,88
6,96,94,77,100,94,80,96,92,93,94,82,100,94,100
7,92,52,53,94,84,45,52,60,72,82,88,93,82,56
8,83,64,54,70,100,42,70,68,75,70,91,93,94,54
9,92,83,64,90,90,60,68,92,96,82,81,100,76,78
10,100,95,68,88,87,87,60,92,85,100,88,100,94,96
11,84,77,34,86,50,62,44,64,70,72,81,100,80,40
12,94,78,90,100,86,85,100,92,81,88,94,100,100,74
13,87,84,77,90,89,87,54,72,36,100,94,93,74,58
14,98,90,94,96,100,93,92,100,96,100,100,100,100,94
15,86,71,75,78,86,56,84,68,71,64,82,93,56,38
16,92,100,88,96,100,100,84,96,96,100,100,93,100,88
17,71,73,73,92,84,71,76,64,82,60,33,72,66,78
18,100,91,72,94,87,75,96,88,79,88,97,100,100,74
19,100,83,94,100,95,89,90,100,93,82,94,100,94,84
20,98,94,66,92,100,89,81,88,96,94,88,100,86,86
21,70,80,66,90,90,66,57,88,33,76,81,94,60,44
22,89,43,76,77,73,72,46,64,40,88,94,93,82,50
23,77,41,31,88,74,31,36,72,33,70,72,100,74,68
24,92,86,87,94,100,86,86,88,92,94,87,100,82,80
25,86,85,90,96,100,88,96,100,100,94,93,100,82,88
26,86,73,63,86,89,90,92,88,87,76,87,100,86,82
27,96,100,82,92,87,50,67,52,42,82,76,100,80,58
28,86,88,91,98,97,90,90,88,89,88,94,100,92,80
29,97,94,98,92,97,94,98,92,79,76,75,100,72,62
30,97,92,78,92,97,92,78,92,82,76,100,100,100,70
31,89,66,78,80,89,66,78,80,88,82,89,100,66,88
